event_id,research_stratum,admission_tier,derived_archetype,time_to_first_change_hours,trigger_is_action,changed_layer_count,trigger_precision_bucket,latency_lower_bound_hours,latency_upper_bound_hours,day_interval_band
china-pboc-crypto-ban-2021,S4_nation_state,empirical_case,cex_only,13.15,False,1,hour,,,
tornado-cash-ofac-2022,S1_ofac_sdn,anchor_case,multi_layer,2.85,False,5,hour,,,
aeza-group-ofac-2025,S1_ofac_sdn,empirical_case,asset_only,30.42,False,1,day,6.420000000000002,30.42,ambiguous_boundary
alphabay-hansa-doj-2017,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,0.0,False,1,day,0.0,0.0,≤1d
australia-asic-binance-derivatives-2023,S4_nation_state,empirical_case,multi_layer,0.0,False,2,day,0.0,0.0,≤1d
belgium-fsma-binance-cease-2023,S4_nation_state,empirical_case,multi_layer,0.0,False,2,day,0.0,0.0,≤1d
binance-4framework-2023,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day,0.0,0.0,≤1d
binance-cftc-2023,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day,0.0,0.0,≤1d
bitfinex-cftc-retail-commodity-2016,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day,0.0,0.0,≤1d
bitfinex-tether-cftc-2021,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day,0.0,0.0,≤1d
bitmex-cftc-doj-2020,S3_doj_sec_cftc_fiod,empirical_case,multi_layer,0.0,False,2,day,0.0,0.0,≤1d
bitzlato-doj-2023,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day,0.0,0.0,≤1d
blender-ofac-2022,S1_ofac_sdn,empirical_case,frontend_only,251.6,False,1,day,227.6,251.6,"(1d, 30d]"
blockfi-sec-lending-2022,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day,0.0,0.0,≤1d
btc-e-doj-2017,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,0.0,False,1,day,0.0,0.0,≤1d
canada-convoy-freeze-2022,S4_nation_state,empirical_case,cex_only,24.0,False,1,day,0.0,24.0,≤1d
canada-csa-binance-withdrawal-2023,S4_nation_state,empirical_case,multi_layer,1920.0,False,2,day,1896.0,1920.0,>30d
celsius-bankruptcy-mashinsky-doj-2023,S3_doj_sec_cftc_fiod,empirical_case,cex_only,0.0,False,1,day,0.0,0.0,≤1d
cftc-v-ooki-dao-2022,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,6192.0,False,1,day,6168.0,6192.0,>30d
chatex-ofac-2021,S1_ofac_sdn,empirical_case,multi_layer,28.25,False,2,day,4.25,28.25,ambiguous_boundary
china-pboc-crypto-ban-2013-12,S4_nation_state,empirical_case,cex_only,312.0,False,1,day,288.0,312.0,"(1d, 30d]"
chipmixer-doj-2023,S3_doj_sec_cftc_fiod,empirical_case,frontend_only,17.1,False,1,day,0.0,17.1,≤1d
coinbase-india-exit-2022,S5_corporate,empirical_case,cex_only,72.0,False,1,day,48.0,72.0,"(1d, 30d]"
coinbase-irs-john-doe-summons-2016,S3_doj_sec_cftc_fiod,empirical_case,cex_only,24.0,False,1,day,0.0,24.0,≤1d
