event_id,queue_id,repair_class,url,status,body_hash,body_path,metadata_path,error
singapore-mas-binance-services-2021,215,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
tornado-cash-storm-conviction-2025,235,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
uk-fca-binance-markets-2021,241,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
welcome-to-video-doj-2019,252,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
iran-ransomware-ofac-2018,115,repair_observation_primary_source,https://home.treasury.gov/news/press-releases/sm556,captured;patched_fields=2,sha256:5237f74b36ca761cd2b6056b69cee173aaf8675de4c037bdb03dfa35fa1fa96b,sources/http_captures/iran-ransomware-ofac-2018/v0_3_repair/home.treasury.gov__news-press-releases-sm556__328e97f0bd.html,sources/http_captures/iran-ransomware-ofac-2018/v0_3_repair/home.treasury.gov__news-press-releases-sm556__328e97f0bd.json,
sinbad-ofac-2023,214,repair_observation_primary_source,https://home.treasury.gov/news/press-releases/jy1933,captured;patched_fields=2,sha256:8953cd84fc18034316fcf2a5eaca663dd7669d7a603f1485f605b3f8f26351f7,sources/http_captures/sinbad-ofac-2023/v0_3_repair/home.treasury.gov__news-press-releases-jy1933__e05f867e9a.html,sources/http_captures/sinbad-ofac-2023/v0_3_repair/home.treasury.gov__news-press-releases-jy1933__e05f867e9a.json,
apple-india-crypto-exchange-removal-2024-01,6,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
augur-v2-us-uk-geofence-2020-07,9,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
bangladesh-bb-bitcoin-warning-2014,11,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
bitcoinica-shutdown-2012-05,19,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
cftc-v-ftx-2022,37,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
china-nft-secondary-trading-self-discipline-2022-06,42,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
china-pboc-exchange-shutdown-2017-09,45,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
china-sichuan-mining-ban-2021-06,46,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
china-state-council-mining-crackdown-2021-05,47,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
china-weibo-crypto-exchange-purge-2021-03,48,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
circle-usdc-svb-policy-statement-2023,51,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
datacell-v-valitor-iceland-district-court-2012-07,61,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
ens-eth-domain-tornado-resolution-2022,67,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
google-play-india-crypto-exchange-removal-2024-01,96,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
iran-government-mining-electricity-restriction-2021,114,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
karpeles-arrest-tokyo-mtgox-2015,127,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
kazakhstan-internet-shutdown-mining-2022-01,129,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
liberty-reserve-costa-rica-license-denial-2011-03,143,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
makerdao-emergency-shutdown-contingency-2022-08,146,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
mtgox-coinlab-civil-2013,153,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
mtgox-june-2011-hack-trading-suspension,155,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
mtgox-mizuho-wire-pressure-2012,156,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
pecunix-bullion-transfer-2008,176,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
philippines-sec-binance-block-2024,178,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
ren-protocol-shutdown-alameda-ftx-2022-12,183,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
russia-rosfinmonitoring-binance-russia-rails-2022,191,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
salame-ftx-campaign-finance-doj-2023,194,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
sec-v-ftx-2022,204,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
tether-tron-philippines-pdea-freeze-2024,226,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
thailand-bot-bitcoin-prohibition-2013,227,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
tornado-cash-github-takedown-2022-08,230,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
tornado-cash-tornadocash-org-seizure-2022,236,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
trustwallet-sanctioned-token-ui-update-2022,237,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
uniswap-balancer-tornado-frontend-block-2022-08,245,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
uniswap-token-list-curation-default-2021,247,repair_trigger_anchor_and_observation_source,,no_existing_url_missing_anchor,,,,
