event_id,domain,input_url,probe_cc,since,until,query_hash,query_url,body_path,body_hash,query_error,result_count,metadata_count,country_count,probe_countries,measurement_ids,anomaly_count,confirmed_count,failure_count,denominator_class,rate_reportable
india-fiu-offshore-vda-block-2023,binance.com,https://www.binance.com/,IN,2024-01-12,2024-02-15,3c271a3e2e166d70,https://api.ooni.io/api/v1/measurements?probe_cc=IN&test_name=web_connectivity&input=https%3A%2F%2Fwww.binance.com%2F&since=2024-01-12&until=2024-02-15&limit=20,sources/http_captures/india-fiu-offshore-vda-block-2023/ooni/api.ooni.io__api-v1-measurements__d2e076e2fe.json,f4a98fc7a093f25a27e9ab6ade83f39a512330077977ea1b7216ca8fe3bdead5,,20,-1,1,IN,"20240211024534.350949_IN_webconnectivity_10daebe4cbc8f060,20240211030651.704791_IN_webconnectivity_274600b15984bfda,20240211053134.444192_IN_webconnectivity_46a65a02e9612786,20240211053135.187728_IN_webconnectivity_93c297bfa25e438e,20240211085150.499106_IN_webconnectivity_0048f0197fac6b4c,20240211091712.337926_IN_webconnectivity_26deb69ca4a12c7a,20240211091853.239291_IN_webconnectivity_688c71e02b1f51bb,20240212054809.591867_IN_webconnectivity_b344b6ea57115faa,20240212054810.360772_IN_webconnectivity_a1b96acac80b8990,20240212143337.495831_IN_webconnectivity_e440803900cbf61c,20240213053223.827256_IN_webconnectivity_cc6889d9d77ee058,20240213053237.419791_IN_webconnectivity_cedcb8dd7d8e187e,20240213080807.771762_IN_webconnectivity_c288a60728d119c1,20240213083829.916882_IN_webconnectivity_a9c5aeb6b77a780a,20240213092932.061005_IN_webconnectivity_ecdb2dfb8255e767,20240213154513.402747_IN_webconnectivity_7a11ee9d0190ff25,20240213220546.094907_IN_webconnectivity_d480911c5ea0d00f,20240214013629.781182_IN_webconnectivity_3fb049493f2a3a49,20240214052004.946843_IN_webconnectivity_64fe9693508267bf,20240214053110.208661_IN_webconnectivity_c3f4475451ae24e4",16,4,0,measurement_denominator,yes
nigeria-binance-network-block-2024-02,binance.com,https://www.binance.com/,NG,2024-02-25,2024-03-15,d330e837f67b36fe,https://api.ooni.io/api/v1/measurements?probe_cc=NG&test_name=web_connectivity&input=https%3A%2F%2Fwww.binance.com%2F&since=2024-02-25&until=2024-03-15&limit=5,sources/http_captures/nigeria-binance-network-block-2024-02/primary/api.ooni.io__api-v1-measurements__11424b04af.json,fcd25b717edd9167a1c6af75c787dfe34f17de3001838fa5eb11280bf14a9416,,4,4,1,NG,"20240226044228.360894_NG_webconnectivity_854d8cc1454ae094,20240227042007.627479_NG_webconnectivity_6c0b50a663708f49,20240228173347.212137_NG_webconnectivity_4c9189a5bac58b84,20240229202520.272363_NG_webconnectivity_8800900394169b97",4,0,0,measurement_denominator,yes
philippines-sec-binance-block-2024,binance.com,https://www.binance.com/,PH,2024-03-25,2024-04-25,988c808f31864901,https://api.ooni.io/api/v1/measurements?probe_cc=PH&test_name=web_connectivity&input=https%3A%2F%2Fwww.binance.com%2F&since=2024-03-25&until=2024-04-25&limit=5,sources/http_captures/philippines-sec-binance-block-2024/v0_3_primary_repair/api.ooni.io__api-v1-measurements__80d9945fd5.json,84c5a6c569687491a273bf4e7a1ff3b1c402552e2d6ca0393908958eaa8c38dc,,5,-1,1,PH,"20240423083827.114575_PH_webconnectivity_24d659a5d6f91cd8,20240424072345.919988_PH_webconnectivity_5239edeeffb80f44,20240424080618.964439_PH_webconnectivity_3cf0c805db36e199,20240424151227.876086_PH_webconnectivity_71bfae1b481a0b69,20240424222618.178366_PH_webconnectivity_d8426b5073794c65",3,0,0,measurement_denominator,yes
samourai-doj-2024,samouraiwallet.com,https://samouraiwallet.com/,*,2024-03-24,2024-05-24,33fb4f84114463f2,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fsamouraiwallet.com%2F&since=2024-03-24&until=2024-05-24&limit=100&test_name=web_connectivity,sources/l0_datasets/samourai-doj-2024/samouraiwallet.com__ooni.json,822a1a3bf719ca4a1f57a6a1871862ddc0ee9456149a7052ed827e13f2719ae1,,0,0,0,,,0,0,0,no_ooni_measurements,no
samourai-doj-2024,whirlpool.samouraiwallet.com,https://whirlpool.samouraiwallet.com/,*,2024-03-24,2024-05-24,1db3868e200a9a65,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fwhirlpool.samouraiwallet.com%2F&since=2024-03-24&until=2024-05-24&limit=100&test_name=web_connectivity,sources/l0_datasets/samourai-doj-2024/whirlpool.samouraiwallet.com__ooni.json,937035a9d35851f0d1718ac80998878f3ba7ce42f58f29869661d115a4f6d197,,0,0,0,,,0,0,0,no_ooni_measurements,no
sinbad-ofac-2023,sinbad.io,https://sinbad.io/,*,2023-10-29,2023-12-29,5e2ee18f0e4c43cc,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fsinbad.io%2F&since=2023-10-29&until=2023-12-29&limit=100&test_name=web_connectivity,sources/l0_datasets/sinbad-ofac-2023/sinbad.io__ooni.json,8b26e5d39feedb845ee87f87f83cc142415807cf2bb2ddcdeb0bebc7fd1170ca,,0,0,0,,,0,0,0,no_ooni_measurements,no
suex-ofac-2021,suex.io,https://suex.io/,*,2021-08-21,2021-10-21,c99dfcd7f047c2ac,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fsuex.io%2F&since=2021-08-21&until=2021-10-21&limit=100&test_name=web_connectivity,sources/l0_datasets/suex-ofac-2021/suex.io__ooni.json,a5cd105c075d9db0e284a5c2de50536d8529223d0812c722773b5453a403c52c,,0,0,0,,,0,0,0,no_ooni_measurements,no
tornado-cash-ofac-2022,app.tornado.cash,https://app.tornado.cash/,*,2022-07-15,2022-10-10,de312d2c8af3df34,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Fapp.tornado.cash%2F&since=2022-07-15&until=2022-10-10&limit=100&test_name=web_connectivity,sources/l0_datasets/tornado-cash-ofac-2022/app.tornado.cash__ooni.json,466da14db9bb73958bae6c9a4bf90748e72e843bd4f2e71ae7300122d01d35c9,,0,0,0,,,0,0,0,no_ooni_measurements,no
tornado-cash-ofac-2022,tornado.cash,https://tornado.cash/,*,2022-07-08,2022-10-10,dce5fc85561ec341,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Ftornado.cash%2F&since=2022-07-08&until=2022-10-10&limit=100&test_name=web_connectivity,sources/l0_datasets/tornado-cash-ofac-2022/tornado.cash__ooni.json,c565484a02b9158cbbe32d400fc8ce1b591dd62f26072eef90abf5c2bc697520,,0,0,0,,,0,0,0,no_ooni_measurements,no
tornado-cash-ofac-2022,tornadocash.eth.link,https://tornadocash.eth.link/,*,2022-07-08,2022-10-10,b4248cacaa9c3dd3,https://api.ooni.io/api/v1/measurements?input=https%3A%2F%2Ftornadocash.eth.link%2F&since=2022-07-08&until=2022-10-10&limit=100&test_name=web_connectivity,sources/l0_datasets/tornado-cash-ofac-2022/tornadocash.eth.link__ooni.json,4f649d841d0d3101db85cbb5023eb0213acdb9e88314bbf1606d588382b3aa81,,0,0,0,,,0,0,0,no_ooni_measurements,no
