layer,strict_num,strict_den,strict_rate,current_num,current_den,current_rate,permissive_num,permissive_den,permissive_rate,strict_permissive_delta,sensitivity
l0_network,0,0,,0,0,,5,5,1.0,,undefined
l1_consensus,0,8,0.0,2,8,0.25,10,16,0.625,0.625,sensitive
l3_rpc,1,1,1.0,1,1,1.0,6,7,0.8571,-0.1429,sensitive
l4_frontend,34,57,0.5965,52,57,0.9123,70,78,0.8974,0.3009,sensitive
asset_onchain,20,23,,23,23,,26,27,,,retracted_structural
offramp_cex,120,257,0.4669,167,257,0.6498,208,308,0.6753,0.2084,sensitive
