layer,total_events,applicable_event_count,measured_count,partially_measured_count,not_measured_count,not_applicable_count,missing_coverage_count,changed_count,changed_under_measured_count,changed_under_measured_or_partial_count,changed_unique_action_count,changed_unique_under_measured_action_count,changed_unique_under_measured_or_partial_action_count,duplicated_changed_action_count,no_change_count,coverage_gap_count,changed_given_measured,changed_given_measured_or_partial,changed_given_applicable
l0_network,398,24,0,5,19,374,0,5,0,5,5,0,5,0,0,0,,1.0,
l1_consensus,398,18,8,8,2,380,0,10,2,10,10,2,10,0,6,0,0.25,0.625,
l3_rpc,398,13,1,6,6,385,0,6,1,6,6,1,6,0,1,0,1.0,0.8571,
l4_frontend,398,124,57,21,46,274,0,70,52,70,75,52,75,0,8,0,0.9123,0.8974,
asset_onchain,398,49,23,4,22,349,0,26,23,26,29,26,29,1,1,0,,,
offramp_cex,398,329,257,51,21,69,0,208,167,208,216,175,216,0,100,0,0.6498,0.6753,
